Nr,TID,PID,x [micron],y [micron],t [sec],I [val],Len [micron],D2S [micron],D2R [micron],D2P [micron],v [micron/sec],α [deg],Δα [deg]
1,1,1,644.886,449.811,0,231,0,0,NA,NA,NA,NA,NA
2,1,2,630.114,433.144,300.011,181,22.271,22.271,NA,22.271,0.074,-131.553,NA
3,1,3,646.023,432.765,600.021,185,38.185,17.083,NA,15.914,0.053,-1.364,130.189
4,1,4,621.023,431.25,900.032,243,63.231,30.232,NA,25.046,0.083,-176.532,-175.168
5,1,5,614.962,431.25,1200.042,255,69.291,35.213,NA,6.061,0.02,180,-3.468
6,1,6,614.962,431.25,1500.053,204,69.291,35.213,NA,0,0,0,-180
7,1,7,620.265,425.189,1800.063,211,77.345,34.82,NA,8.053,0.027,-48.814,-48.814
8,1,8,623.674,422.917,2100.074,142,81.442,34.253,NA,4.097,0.014,-33.69,15.124
9,1,9,617.614,418.75,2400.084,255,88.796,41.335,NA,7.355,0.025,-145.491,-111.801
10,1,10,615.341,408.902,2700.095,238,98.904,50.463,NA,10.107,0.034,-102.995,42.497
11,1,11,616.098,408.902,3000.106,255,99.661,50.023,NA,0.758,0.003,0,102.995
12,1,12,617.235,411.932,3300.116,211,102.898,46.898,NA,3.236,0.011,69.444,69.444
13,1,13,617.235,413.826,3600.127,255,104.792,45.382,NA,1.894,0.006,90,20.556
14,1,14,611.174,413.826,3900.137,238,110.852,49.309,NA,6.061,0.02,180,90
15,2,1,675.568,481.25,3900.137,201,0,0,NA,NA,NA,NA,NA
16,2,2,678.977,478.598,4200.148,191,4.319,4.319,NA,4.319,0.014,-37.875,NA
17,2,3,671.402,474.811,4500.158,173,12.789,7.67,NA,8.47,0.028,-153.435,-115.56
18,2,4,671.78,474.053,4800.169,125,13.636,8.133,NA,0.847,0.003,-63.435,90
19,2,5,673.674,474.053,5100.18,115,15.53,7.442,NA,1.894,0.006,0,63.435
20,2,6,650.568,458.523,5400.19,134,43.37,33.787,NA,27.84,0.093,-146.094,-146.094
21,2,7,678.977,478.598,5700.201,213,78.157,4.319,NA,34.787,0.116,35.248,-178.659
22,2,8,682.008,482.008,6000.211,170,82.718,6.484,NA,4.561,0.015,48.366,13.119
23,3,1,679.356,553.977,1200.042,74,0,0,NA,NA,NA,NA,NA
24,3,2,685.038,566.098,1500.053,91,13.387,13.387,NA,13.387,0.045,64.885,NA
25,3,3,685.038,572.917,1800.063,71,20.205,19.773,NA,6.818,0.023,90,25.115
26,3,4,685.038,577.083,2100.074,136,24.372,23.794,NA,4.167,0.014,90,0
27,3,5,701.705,569.886,2400.084,116,42.526,27.433,NA,18.154,0.061,-23.356,-113.356
28,3,6,703.598,578.22,2700.095,96,51.072,34.284,NA,8.546,0.028,77.196,100.551
29,4,1,697.538,505.114,0,255,0,0,NA,NA,NA,NA,NA
30,4,2,696.023,505.114,300.011,255,1.515,1.515,NA,1.515,0.005,180,NA
31,4,3,691.856,505.114,600.021,255,5.682,5.682,NA,4.167,0.014,180,0
32,4,4,685.038,505.114,900.032,158,12.5,12.5,NA,6.818,0.023,180,0
33,4,5,685.038,505.114,1200.042,255,12.5,12.5,NA,0,0,0,-180
34,4,6,685.038,505.114,1500.053,255,12.5,12.5,NA,0,0,0,0
35,4,7,680.871,502.462,1800.063,123,17.439,16.876,NA,4.939,0.016,-147.529,-147.529
36,4,8,680.871,502.462,2100.074,255,17.439,16.876,NA,0,0,0,147.529
37,4,9,680.871,502.462,2400.084,205,17.439,16.876,NA,0,0,0,0
38,4,10,680.871,502.462,2700.095,178,17.439,16.876,NA,0,0,0,0
39,4,11,680.871,502.462,3000.106,132,17.439,16.876,NA,0,0,0,0
40,4,12,677.841,503.22,3300.116,239,20.562,19.788,NA,3.124,0.01,165.964,165.964
41,4,13,677.841,503.22,3600.127,255,20.562,19.788,NA,0,0,0,-165.964
42,4,14,671.023,496.023,3900.137,255,30.476,28.03,NA,9.914,0.033,-133.452,-133.452
43,4,15,675.189,506.629,4200.148,238,41.871,22.4,NA,11.395,0.038,68.552,-157.996
44,4,16,675.568,506.629,4500.158,255,42.25,22.022,NA,0.379,0.001,0,-68.552
45,4,17,675.568,500.189,4800.169,213,48.69,22.515,NA,6.439,0.021,-90,-90
46,4,18,673.674,504.356,5100.18,189,53.266,23.876,NA,4.577,0.015,114.444,-155.556
47,4,19,673.674,504.356,5400.19,214,53.266,23.876,NA,0,0,0,-114.444
48,4,20,673.674,504.356,5700.201,182,53.266,23.876,NA,0,0,0,0
49,4,21,678.598,510.038,6000.211,201,60.785,19.569,NA,7.519,0.025,49.086,49.086
50,4,22,678.598,510.038,6300.222,248,60.785,19.569,NA,0,0,0,-49.086
51,4,23,678.598,510.038,6600.232,181,60.785,19.569,NA,0,0,0,0
52,4,24,682.765,507.008,6900.243,229,65.937,14.894,NA,5.152,0.017,-36.027,-36.027
53,4,25,682.765,511.932,7200.253,248,70.861,16.27,NA,4.924,0.016,90,126.027
54,4,26,702.083,520.265,7500.264,228,91.9,15.819,NA,21.039,0.07,23.334,-66.666
55,4,27,704.735,520.265,7800.275,255,94.552,16.774,NA,2.652,0.009,0,-23.334
56,5,1,708.902,504.356,3000.106,113,0,0,NA,NA,NA,NA,NA
57,5,2,711.553,488.826,3300.116,255,15.755,15.755,NA,15.755,0.053,-80.311,NA
58,5,3,710.795,486.174,3600.127,255,18.513,18.28,NA,2.758,0.009,-105.945,-25.634
59,5,4,710.417,485.417,3900.137,255,19.36,19,NA,0.847,0.003,-116.565,-10.62
60,5,5,714.583,485.417,4200.148,255,23.526,19.773,NA,4.167,0.014,0,116.565
61,5,6,716.477,484.28,4500.158,255,25.735,21.458,NA,2.209,0.007,-30.964,-30.964
62,5,7,716.477,491.098,4800.169,252,32.553,15.269,NA,6.818,0.023,90,120.964
63,5,8,716.477,491.098,5100.18,255,32.553,15.269,NA,0,0,0,-90
64,5,9,716.477,491.098,5400.19,251,32.553,15.269,NA,0,0,0,0
65,5,10,715.341,491.098,5700.201,255,33.69,14.739,NA,1.136,0.004,180,180
66,6,1,573.295,500.568,6300.222,36,0,0,NA,NA,NA,NA,NA
67,6,2,573.295,497.917,6600.232,6,2.652,2.652,NA,2.652,0.009,-90,NA
68,6,3,573.295,497.917,6900.243,12,2.652,2.652,NA,0,0,0,90
69,6,4,572.159,496.023,7200.253,7,4.86,4.685,NA,2.209,0.007,-120.964,-120.964
70,6,5,572.159,496.023,7500.264,41,4.86,4.685,NA,0,0,0,120.964
71,6,6,571.402,496.402,7800.275,19,5.707,4.577,NA,0.847,0.003,153.435,153.435
72,6,7,568.371,498.674,8100.285,8,9.495,5.276,NA,3.788,0.013,143.13,-10.305
73,6,8,568.371,498.674,8400.296,11,9.495,5.276,NA,0,0,0,-143.13
74,6,9,568.371,498.674,8700.306,11,9.495,5.276,NA,0,0,0,0
75,6,10,568.371,498.674,9000.317,7,9.495,5.276,NA,0,0,0,0
76,6,11,568.371,504.735,9300.327,21,15.556,6.451,NA,6.061,0.02,90,90
77,6,12,568.371,504.735,9600.338,21,15.556,6.451,NA,0,0,0,-90
78,6,13,572.159,503.598,9900.348,23,19.51,3.236,NA,3.955,0.013,-16.699,-16.699
79,6,14,572.159,503.598,10200.359,29,19.51,3.236,NA,0,0,0,16.699
80,6,15,572.159,503.598,10500.37,14,19.51,3.236,NA,0,0,0,0
81,6,16,572.159,503.598,10800.38,29,19.51,3.236,NA,0,0,0,0
82,6,17,572.159,503.598,11100.391,20,19.51,3.236,NA,0,0,0,0
83,6,18,576.705,507.386,11400.401,22,25.427,7.623,NA,5.917,0.02,39.806,39.806
84,6,19,576.705,507.765,11700.412,43,25.806,7.964,NA,0.379,0.001,90,50.194
85,6,20,576.705,507.765,12000.422,32,25.806,7.964,NA,0,0,0,-90
86,6,21,576.705,513.826,12300.433,40,31.867,13.689,NA,6.061,0.02,90,90
87,6,22,574.053,515.341,12600.443,41,34.92,14.792,NA,3.054,0.01,150.255,60.255
88,6,23,574.053,515.341,12900.454,65,34.92,14.792,NA,0,0,0,-150.255
89,6,24,564.962,516.477,13200.465,43,44.082,17.959,NA,9.162,0.031,172.875,172.875
90,6,25,557.386,519.508,13500.475,7,52.241,24.735,NA,8.159,0.027,158.199,-14.676
91,6,26,550.568,528.598,13800.486,86,63.605,36.086,NA,11.364,0.038,126.87,-31.329
92,6,27,543.75,536.174,14100.496,42,73.797,46.268,NA,10.192,0.034,131.987,5.117
93,6,28,531.629,535.417,14400.507,43,85.942,54.319,NA,12.145,0.04,-176.424,51.589
94,6,29,527.841,535.417,14700.517,76,89.73,57.276,NA,3.788,0.013,180,-3.576
95,6,30,527.462,535.417,15000.528,102,90.109,57.577,NA,0.379,0.001,180,0
96,6,31,535.795,551.705,15300.539,47,108.405,63.413,NA,18.296,0.061,62.904,-117.096
97,6,32,535.795,552.083,15600.549,31,108.783,63.719,NA,0.379,0.001,90,27.096
98,6,33,535.795,552.083,15900.56,38,108.783,63.719,NA,0,0,0,-90
99,6,34,535.795,552.083,16200.57,33,108.783,63.719,NA,0,0,0,0
100,6,35,535.795,552.083,16500.581,37,108.783,63.719,NA,0,0,0,0
101,6,36,535.795,552.083,16800.591,41,108.783,63.719,NA,0,0,0,0
102,6,37,520.644,561.553,17100.602,58,126.651,80.569,NA,17.867,0.06,147.995,147.995
103,6,38,520.265,561.553,17400.612,42,127.03,80.817,NA,0.379,0.001,180,32.005
104,6,39,520.265,561.553,17700.623,21,127.03,80.817,NA,0,0,0,-180
105,6,40,512.689,558.144,18000.634,49,135.337,83.595,NA,8.307,0.028,-155.772,-155.772
106,6,41,512.689,558.144,18300.644,99,135.337,83.595,NA,0,0,0,155.772
107,6,42,508.144,555.114,18600.655,22,140.8,84.97,NA,5.463,0.018,-146.31,-146.31
108,6,43,513.447,550.947,18900.665,42,147.544,78.23,NA,6.744,0.022,-38.157,108.153
109,6,44,513.447,550.947,19200.676,40,147.544,78.23,NA,0,0,0,38.157
110,6,45,513.447,550.947,19500.686,36,147.544,78.23,NA,0,0,0,0
111,6,46,513.447,550.947,19800.697,5,147.544,78.23,NA,0,0,0,0
112,6,47,515.341,553.598,20100.707,39,150.803,78.555,NA,3.258,0.011,54.462,54.462
113,6,48,508.523,550.947,20400.718,40,158.118,82.058,NA,7.316,0.024,-158.749,146.788
114,6,49,508.144,534.659,20700.729,86,174.411,73.532,NA,16.292,0.054,-91.332,67.417
115,6,50,541.477,533.144,21000.739,54,207.778,45.537,NA,33.368,0.111,-2.603,88.73
116,6,51,559.659,528.598,21300.75,45,226.52,31.171,NA,18.741,0.062,-14.036,-11.434
117,6,52,571.402,541.477,21600.76,28,243.948,40.953,NA,17.428,0.058,47.643,61.679
118,6,53,551.705,528.598,21900.771,36,267.482,35.382,NA,23.534,0.078,-146.821,165.536
119,6,54,529.356,537.689,22200.781,57,291.608,57.521,NA,24.127,0.08,157.865,-55.314
120,6,55,536.174,501.705,22500.792,61,328.234,37.139,NA,36.625,0.122,-79.271,122.864
121,6,56,508.902,539.205,22800.802,41,374.602,75.096,NA,46.369,0.155,126.027,-154.701
122,6,57,517.614,550.947,23100.813,21,389.224,75.09,NA,14.621,0.049,53.427,-72.6
123,6,58,488.826,551.705,23400.824,45,418.021,98.742,NA,28.798,0.096,178.493,125.066
124,6,59,478.977,576.326,23700.834,31,444.539,120.976,NA,26.518,0.088,111.801,-66.691
125,6,60,475.568,594.129,24000.845,44,462.666,135.293,NA,18.126,0.06,100.84,-10.961
126,6,61,487.311,611.553,24300.855,38,483.677,140.396,NA,21.012,0.07,56.023,-44.817
127,6,62,466.098,622.538,24600.866,55,507.565,162.382,NA,23.888,0.08,152.622,96.599
128,6,63,445.265,612.311,24900.876,26,530.773,169.936,NA,23.208,0.077,-153.853,53.525
129,6,64,444.508,600.568,25200.887,62,542.54,163.053,NA,11.767,0.039,-93.691,60.162
130,6,65,440.72,596.023,25500.898,60,548.457,163.364,NA,5.917,0.02,-129.806,-36.114
131,6,66,432.008,597.538,25800.908,28,557.3,171.363,NA,8.843,0.029,170.134,-60.06
132,6,67,421.402,599.053,26100.919,31,568.014,181.028,NA,10.714,0.036,171.87,1.736
133,6,68,408.902,591.477,26400.929,55,582.63,187.856,NA,14.617,0.049,-148.782,39.349
134,6,69,400.947,590.341,26700.94,47,590.666,194.327,NA,8.035,0.027,-171.87,-23.088
135,6,70,386.932,609.659,27000.95,28,614.532,215.945,NA,23.867,0.08,125.961,-62.17
136,6,71,383.523,616.856,27300.961,33,622.496,222.568,NA,7.964,0.027,115.346,-10.614
137,6,72,373.295,638.447,27600.971,79,646.386,242.921,NA,23.891,0.08,115.346,0
138,6,73,362.311,658.523,27900.982,50,669.271,263.561,NA,22.885,0.076,118.686,3.34
139,6,74,340.341,653.598,28200.993,52,691.786,278.722,NA,22.515,0.075,-167.367,73.947
140,6,75,337.311,653.22,28501.003,64,694.84,281.054,NA,3.054,0.01,-172.875,-5.508
141,6,76,314.583,653.598,28801.014,48,717.57,300.583,NA,22.73,0.076,179.045,-8.08
142,6,77,329.356,664.583,29101.024,82,735.979,293.951,NA,18.409,0.061,36.634,-142.411
143,6,78,330.114,666.477,29401.035,56,738.019,294.386,NA,2.04,0.007,68.199,31.564
144,6,79,329.735,666.856,29701.045,50,738.555,294.913,NA,0.536,0.002,135,66.801
145,6,80,331.629,652.083,30001.056,33,753.448,285.236,NA,14.894,0.05,-82.694,142.306
146,6,81,320.265,648.295,30301.066,44,765.427,292.998,NA,11.978,0.04,-161.565,-78.871
147,6,82,320.644,642.614,30601.077,38,771.121,289.844,NA,5.694,0.019,-86.186,75.379
148,6,83,334.659,642.614,30901.088,24,785.136,277.712,NA,14.015,0.047,0,86.186
149,6,84,346.78,642.614,31201.098,36,797.258,267.369,NA,12.121,0.04,0,0
150,6,85,346.78,620.265,31501.109,80,819.606,256.196,NA,22.348,0.074,-90,-90
151,6,86,350.568,610.795,31801.119,37,829.805,248.511,NA,10.199,0.034,-68.199,21.801
152,6,87,365.341,613.068,32101.13,41,844.752,236.435,NA,14.947,0.05,8.746,76.945
153,6,88,392.614,599.811,32401.14,17,875.076,206.143,NA,30.324,0.101,-25.925,-34.671
154,6,89,395.644,605.871,32701.151,36,881.852,206.516,NA,6.776,0.023,63.435,89.36
155,6,90,392.992,602.083,33001.161,68,886.476,206.917,NA,4.624,0.015,-124.992,171.573
156,6,91,390.72,592.614,33301.172,39,896.214,204.466,NA,9.739,0.032,-103.496,21.496
157,6,92,390.72,592.614,33601.183,28,896.214,204.466,NA,0,0,0,103.496
158,6,93,402.841,601.705,33901.193,46,911.366,198.2,NA,15.152,0.051,36.87,36.87
159,6,94,399.432,612.311,34201.204,64,922.506,206.676,NA,11.14,0.037,107.819,70.949
160,6,95,390.72,612.311,34501.214,2,931.218,214.057,NA,8.712,0.029,180,72.181
161,6,96,391.856,638.826,34801.225,77,957.758,228.113,NA,26.539,0.088,87.546,-92.454
162,6,97,367.992,657.386,35101.235,42,987.99,258.343,NA,30.232,0.101,142.125,54.579
163,6,98,342.614,644.508,35401.246,92,1016.449,271.906,NA,28.46,0.095,-153.094,64.781
164,6,99,365.72,633.523,35701.257,66,1042.034,246.505,NA,25.584,0.085,-25.427,127.667
165,6,100,356.25,644.129,36001.267,54,1056.252,260.228,NA,14.218,0.047,131.76,157.187
166,6,101,355.492,644.129,36301.278,70,1057.01,260.86,NA,0.758,0.003,180,48.24
167,6,102,355.492,644.129,36601.288,28,1057.01,260.86,NA,0,0,0,-180
168,6,103,355.492,649.432,36901.299,52,1062.313,263.815,NA,5.303,0.018,90,90
169,6,104,319.129,638.447,37201.309,24,1100.299,289.156,NA,37.987,0.127,-163.191,106.809
170,6,105,319.129,638.447,37501.32,32,1100.299,289.156,NA,0,0,0,163.191
171,6,106,294.508,644.886,37801.33,57,1125.749,313.927,NA,25.449,0.085,165.343,165.343
172,6,107,329.356,648.295,38101.341,8,1160.764,285.184,NA,35.015,0.117,5.587,-159.756
173,6,108,307.386,645.265,38401.352,29,1182.941,302.729,NA,22.178,0.074,-172.147,-177.734
174,6,109,285.038,667.614,38701.362,76,1214.547,333.162,NA,31.606,0.105,135,-52.853
175,6,110,273.674,630.114,39001.373,2,1253.731,326.427,NA,39.184,0.131,-106.858,118.142
176,6,111,266.856,636.553,39301.383,38,1263.109,335.257,NA,9.378,0.031,136.637,-116.505
177,6,112,253.22,625.189,39601.394,27,1280.86,343.481,NA,17.751,0.059,-140.194,83.169
178,6,113,223.295,593.371,39901.404,125,1324.539,362.094,NA,43.679,0.146,-133.243,6.951
179,6,114,225.568,585.417,40201.415,38,1332.812,357.929,NA,8.273,0.028,-74.055,59.188
180,6,115,211.932,590.341,40501.425,49,1347.31,372.348,NA,14.498,0.048,160.145,-125.801
181,6,116,202.462,583.523,40801.436,23,1358.979,379.998,NA,11.669,0.039,-144.246,55.609
182,6,117,196.402,581.25,41101.447,36,1365.451,385.433,NA,6.473,0.022,-159.444,-15.198
183,6,118,172.917,586.932,41401.457,83,1389.614,409.587,NA,24.162,0.081,166.399,-34.157
184,6,119,161.553,611.553,41701.468,83,1416.731,426.438,NA,27.117,0.09,114.775,-51.624
185,6,120,143.75,626.705,42001.478,63,1440.109,447.683,NA,23.378,0.078,139.6,24.825
186,6,121,160.417,637.689,42301.489,75,1460.07,435.053,NA,19.961,0.067,33.389,-106.212
187,6,122,153.22,637.311,42601.499,59,1467.277,441.772,NA,7.207,0.024,-176.987,149.624
188,6,123,157.008,602.841,42901.51,42,1501.954,428.667,NA,34.677,0.116,-83.729,93.258
189,6,124,178.598,574.811,43201.521,33,1537.335,401.619,NA,35.382,0.118,-52.394,31.335
190,6,125,165.72,557.008,43501.531,117,1559.308,411.465,NA,21.973,0.073,-125.882,-73.488
191,6,126,172.538,549.811,43801.542,52,1569.222,403.772,NA,9.914,0.033,-46.548,79.334
192,6,127,164.962,522.159,44101.552,41,1597.893,408.904,NA,28.671,0.096,-105.322,-58.773
193,6,128,155.114,517.992,44401.563,35,1608.586,418.545,NA,10.694,0.036,-157.068,-51.746
194,6,129,155.114,517.992,44701.573,35,1608.586,418.545,NA,0,0,0,157.068
195,6,130,155.492,516.477,45001.584,72,1610.148,418.106,NA,1.562,0.005,-75.964,-75.964
196,6,131,155.492,516.477,45301.594,45,1610.148,418.106,NA,0,0,0,75.964
197,6,132,155.492,516.477,45601.605,48,1610.148,418.106,NA,0,0,0,0
198,6,133,162.689,519.508,45901.616,37,1617.957,411.043,NA,7.809,0.026,22.834,22.834
199,6,134,162.689,519.508,46201.626,33,1617.957,411.043,NA,0,0,0,-22.834
200,6,135,162.689,519.508,46501.637,63,1617.957,411.043,NA,0,0,0,0
201,6,136,162.689,519.508,46801.647,59,1617.957,411.043,NA,0,0,0,0
202,6,137,162.689,519.508,47101.658,56,1617.957,411.043,NA,0,0,0,0
203,7,1,625,557.386,21600.76,255,0,0,NA,NA,NA,NA,NA
204,7,2,630.682,554.545,21900.771,179,6.352,6.352,NA,6.352,0.021,-26.565,NA
205,7,3,630.682,556.25,22200.781,104,8.057,5.794,NA,1.705,0.006,90,116.565
206,7,4,630.682,550.568,22500.792,135,13.739,8.875,NA,5.682,0.019,-90,-180
207,7,5,634.659,550.568,22800.802,93,17.716,11.823,NA,3.977,0.013,0,90
208,7,6,634.659,550.568,23100.813,166,17.716,11.823,NA,0,0,0,0
209,7,7,634.659,550.568,23400.824,91,17.716,11.823,NA,0,0,0,0
210,7,8,634.659,550.568,23700.834,125,17.716,11.823,NA,0,0,0,0
211,7,9,641.477,546.591,24000.845,112,25.61,19.699,NA,7.893,0.026,-30.256,-30.256
212,7,10,642.614,546.591,24300.855,81,26.746,20.659,NA,1.136,0.004,0,30.256
213,7,11,630.682,541.477,24600.866,108,39.727,16.893,NA,12.981,0.043,-156.801,-156.801
214,7,12,626.705,530.682,24900.876,196,51.232,26.759,NA,11.505,0.038,-110.225,46.577
215,7,13,633.523,538.636,25200.887,62,61.709,20.596,NA,10.477,0.035,49.399,159.624
216,7,14,634.659,538.636,25500.898,52,62.845,21.092,NA,1.136,0.004,0,-49.399
217,7,15,629.545,538.636,25800.908,132,67.959,19.293,NA,5.114,0.017,180,180
218,7,16,629.545,546.023,26100.919,220,75.345,12.239,NA,7.386,0.025,90,-90
219,7,17,629.545,546.023,26400.929,137,75.345,12.239,NA,0,0,0,-90
220,7,18,629.545,546.023,26700.94,75,75.345,12.239,NA,0,0,0,0
221,7,19,625.568,546.023,27000.95,108,79.323,11.378,NA,3.977,0.013,180,180
222,7,20,625.568,537.5,27300.961,155,87.845,19.894,NA,8.523,0.028,-90,90
223,7,21,625.568,531.25,27600.971,160,94.095,26.143,NA,6.25,0.021,-90,0
224,7,22,625,530.682,27900.982,147,94.899,26.705,NA,0.804,0.003,-135,-45
225,8,1,755.114,567.614,23700.834,19,0,0,NA,NA,NA,NA,NA
226,8,2,761.364,570.455,24000.845,25,6.865,6.865,NA,6.865,0.023,24.444,NA
227,8,3,761.364,572.159,24300.855,11,8.57,7.728,NA,1.705,0.006,90,65.556
228,8,4,768.182,572.727,24600.866,37,15.412,14.033,NA,6.842,0.023,4.764,-85.236
229,8,5,768.182,570.455,24900.876,16,17.684,13.373,NA,2.273,0.008,-90,-94.764
230,8,6,771.023,570.455,25200.887,69,20.525,16.161,NA,2.841,0.009,0,90
231,8,7,774.432,570.455,25500.898,2,23.934,19.526,NA,3.409,0.011,0,0
232,8,8,786.364,560.795,25800.908,41,39.286,31.985,NA,15.351,0.051,-38.991,-38.991
233,8,9,798.295,561.364,26100.919,95,51.231,43.632,NA,11.945,0.04,2.726,41.717
234,8,10,798.295,561.932,26400.929,49,51.799,43.554,NA,0.568,0.002,90,87.274
235,8,11,798.295,561.932,26700.94,11,51.799,43.554,NA,0,0,0,-90
236,8,12,798.295,561.932,27000.95,29,51.799,43.554,NA,0,0,0,0
237,8,13,798.295,561.932,27300.961,40,51.799,43.554,NA,0,0,0,0
238,8,14,798.295,561.932,27600.971,5,51.799,43.554,NA,0,0,0,0
239,8,15,800.568,559.659,27900.982,14,55.014,46.145,NA,3.214,0.011,-45,-45
240,8,16,802.273,559.659,28200.993,18,56.718,47.825,NA,1.705,0.006,0,45
241,8,17,809.091,564.205,28501.003,25,64.913,54.085,NA,8.194,0.027,33.69,33.69
242,8,18,809.091,564.205,28801.014,7,64.913,54.085,NA,0,0,0,-33.69
243,8,19,831.25,562.5,29101.024,62,87.137,76.308,NA,22.225,0.074,-4.399,-4.399
244,8,20,822.159,566.477,29401.035,23,97.06,67.055,NA,9.923,0.033,156.371,160.769
245,8,21,822.159,567.045,29701.045,44,97.628,67.048,NA,0.568,0.002,90,-66.371
246,8,22,822.159,567.045,30001.056,40,97.628,67.048,NA,0,0,0,-90
247,8,23,822.159,567.045,30301.066,24,97.628,67.048,NA,0,0,0,0
248,8,24,782.955,563.636,30601.077,8,136.981,28.124,NA,39.352,0.131,-175.03,-175.03
249,8,25,771.591,564.205,30901.088,7,148.358,16.826,NA,11.378,0.038,177.138,-7.832
250,8,26,768.182,553.977,31201.098,13,159.139,18.887,NA,10.78,0.036,-108.435,74.427
251,8,27,768.182,553.977,31501.109,51,159.139,18.887,NA,0,0,0,108.435
252,8,28,768.75,560.227,31801.119,17,165.415,15.508,NA,6.276,0.021,84.806,84.806
253,8,29,767.045,560.227,32101.13,78,167.119,14.033,NA,1.705,0.006,180,95.194
254,8,30,767.045,560.227,32401.14,30,167.119,14.033,NA,0,0,0,-180
255,8,31,767.045,560.227,32701.151,57,167.119,14.033,NA,0,0,0,0
256,8,32,767.045,560.227,33001.161,37,167.119,14.033,NA,0,0,0,0
257,8,33,760.795,559.943,33301.172,31,173.376,9.546,NA,6.256,0.021,-177.397,-177.397
258,8,34,760.511,559.943,33601.183,16,173.66,9.379,NA,0.284,9.469E-4,180,-2.603
259,8,35,760.511,559.943,33901.193,48,173.66,9.379,NA,0,0,0,-180
260,8,36,753.409,559.943,34201.204,24,180.762,7.858,NA,7.102,0.024,180,180
261,8,37,749.716,567.898,34501.214,39,189.532,5.405,NA,8.77,0.029,114.905,-65.095
262,8,38,746.875,571.023,34801.225,50,193.755,8.916,NA,4.223,0.014,132.274,17.369
263,8,39,742.898,555.966,35101.235,34,209.329,16.879,NA,15.573,0.052,-104.797,122.93
264,8,40,736.648,550.568,35401.246,33,217.587,25.13,NA,8.258,0.028,-139.185,-34.388
265,8,41,733.807,537.5,35701.257,10,230.96,36.889,NA,13.373,0.045,-102.265,36.92
266,8,42,738.92,535.795,36001.267,16,236.351,35.702,NA,5.39,0.018,-18.435,83.83
267,8,43,730.398,536.648,36301.278,30,244.916,39.62,NA,8.565,0.029,174.289,-167.276
268,8,44,733.807,540.909,36601.288,22,250.373,34.163,NA,5.457,0.018,51.34,-122.949
269,8,45,735.227,540.909,36901.299,10,251.793,33.296,NA,1.42,0.005,0,-51.34
270,8,46,731.534,540.909,37201.309,15,255.487,35.625,NA,3.693,0.012,180,180
271,8,47,736.08,546.591,37501.32,83,262.763,28.359,NA,7.276,0.024,51.34,-128.66
272,8,48,735.511,554.261,37801.33,42,270.454,23.718,NA,7.691,0.026,94.236,42.896
